         channel  nPointBaseLine      sigConstTh          cfdVal      chargeWinL      chargeWinR   nSplinePoints     sigPolarity
               0              30             0.1             0.5              10             170               1             neg
               1              30           0.006             0.5              10              15               1             neg
               2              30             0.1             0.5              10              35               1             neg
               3              30            0.01             0.5              10              20               1             neg
               4              30            0.01             0.5              10              20               1             neg
               5              30            0.01             0.5              10              20               1             neg
               6              30            0.01             0.5              10              20               1             neg
               7              30            0.01             0.5              10              20               1             neg
